time,steer,accel,brake,gear,speedX,trackPos,angle,rpm,damage,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
0.116,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.237,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.354,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.454,0.0,0.0,0.0,1,-0.00913045,0.333439,0.00822276,5235.99,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.576,0.0,0.012235107421875,0.0,1,-0.00913045,0.333439,0.00822276,5237.77,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.676,0.0,0.623066483203125,0.0,1,-0.00913045,0.333439,0.00822276,5535.95,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.795,0.0,0.9022200866571749,0.0,1,-0.00913045,0.333439,0.00822276,6367.42,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
0.917,0.0,0.9766947726310334,0.0,1,-0.00913045,0.333439,0.00822276,7518.44,0.0,5.7030,12.6267,22.4550,140.4860,90.9268,77.3570,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
1.036,0.0,0.995555294267612,0.0,1,0.173377,0.333441,0.00870198,5264.23,0.0,5.7058,12.6457,22.5461,139.7830,90.6329,77.1450,71.4901,67.1913,64.4300,61.8911,59.5490,57.3822,54.6069,51.7558,47.1640,40.0063,31.0012,22.7406,11.2174
1.157,0.0,1.0,0.0,1,4.46568,0.333408,0.00900715,5235.99,0.0,5.7079,12.6612,22.6492,139.2050,90.3595,76.9361,71.3060,67.0251,64.2746,61.7454,59.4122,57.2530,54.4876,51.6464,47.0692,39.9315,30.9510,22.7131,11.2138
1.258,0.0,1.0,0.0,1,8.8255,0.333123,0.00901144,5235.99,0.0,5.7103,12.6763,22.8033,138.7690,90.0783,76.6967,71.0841,66.8167,64.0750,61.5536,59.2277,57.0752,54.3187,51.4861,46.9234,39.8125,30.8742,22.6743,11.2113
1.376,0.0,1.0,0.0,1,13.8876,0.332554,0.00900334,5235.99,0.0,5.7152,12.7085,23.1279,137.9260,89.5276,76.2274,70.6492,66.4074,63.6822,61.1764,58.8646,56.7254,53.9856,51.1704,46.6355,39.5770,30.7216,22.5967,11.2067
1.478,0.0,1.0,0.0,1,18.2402,0.331869,0.00899857,5235.99,0.0,5.7210,12.7526,23.5617,136.9030,88.8623,75.6608,70.1236,65.9136,63.2086,60.7214,58.4267,56.3031,53.5837,50.7895,46.2882,39.2922,30.5365,22.5013,11.2009
1.578,0.0,1.0,0.0,1,22.5234,0.331016,0.00899332,6896.56,0.0,5.7283,12.8154,24.1778,135.6310,88.0355,74.9561,69.4708,65.2995,62.6197,60.1556,57.8821,55.7786,53.0844,50.3160,45.8567,38.9377,30.3044,22.3797,11.1938
1.681,0.0,1.0,0.0,1,27.1788,0.329978,0.00898522,15448.6,0.0,5.7371,12.9042,25.0740,134.0860,87.0293,74.0991,68.6760,64.5523,61.9032,59.4670,57.2197,55.1399,52.4765,49.7398,45.3313,38.5049,30.0191,22.2275,11.1851
1.798,0.0,1.0,0.0,2,32.6503,0.328475,0.00897187,6814.07,0.0,5.7499,13.0585,26.8079,131.8470,85.5724,72.8572,67.5251,63.4700,60.8649,58.4697,56.2598,54.2150,51.5960,48.9051,44.5703,37.8754,29.6002,21.9990,11.1667
1.899,0.0,1.0,0.0,2,37.0176,0.327024,0.00896376,8121.06,0.0,5.7623,13.2393,29.5275,129.6730,84.1593,71.6535,66.4089,62.4211,59.8589,57.5031,55.3296,53.3186,50.7428,48.0963,43.8331,37.2629,29.1883,21.7689,11.1408
2.000,0.0,1.0,0.0,2,41.6982,0.325353,0.00895565,11508.6,0.0,5.7765,13.4889,200.0000,127.1680,82.5309,70.2667,65.1232,61.2123,58.6998,56.3895,54.2581,52.2857,49.7598,47.1647,42.9838,36.5541,28.7070,21.4933,11.1013
2.101,0.0,1.0,0.0,2,46.4982,0.32352,0.00894039,14999.3,0.0,5.7952,13.8192,200.0000,124.4230,80.7442,68.7446,63.7120,59.8859,57.4274,55.1669,53.0817,51.1519,48.6808,46.1416,42.0513,35.7717,28.1697,21.1783,11.0463
2.202,0.0,1.0,0.0,3,51.2678,0.321487,0.00891703,8326.65,0.0,5.8324,14.2630,200.0000,121.3830,78.7655,67.0581,62.1484,58.4155,56.0174,53.8123,51.7778,49.8953,47.4846,45.0074,41.0176,34.8996,27.5641,20.8144,10.9714
2.321,0.0,1.0,0.0,3,56.5997,0.318804,0.00889605,8737.87,0.0,5.9110,14.9972,200.0000,117.3490,76.1414,64.8227,60.0763,56.4675,54.1488,52.0171,50.0506,48.2307,45.9002,43.5055,39.6483,33.7375,26.7465,20.3100,10.8502
2.422,0.0,1.0,0.0,3,60.9845,0.314529,0.0183867,9676.13,0.0,6.0180,15.8534,200.0000,113.6660,73.7458,62.7821,58.1845,54.6889,52.4431,50.3783,48.4734,46.7108,44.4535,42.1341,38.3982,32.6732,25.9830,19.8243,10.7141
2.523,0.0,1.0,0.0,3,65.2517,0.30748,0.0298198,11054.4,0.0,6.1588,16.9832,200.0000,109.8160,71.2256,60.6310,56.1889,52.8116,50.6421,48.6474,46.8072,45.1046,42.9240,40.6837,37.0753,31.5462,25.1618,19.2923,10.5524
2.641,0.0,1.0,0.0,3,71.0488,0.29331,0.0444862,11700.7,0.0,6.3937,18.9254,200.0000,105.0010,68.0285,57.8920,53.6438,50.4148,48.3406,46.4340,44.6751,43.0480,40.9643,38.8238,35.3767,30.0959,24.0821,18.5752,10.3112
2.763,0.0,1.0,0.0,3,77.0303,0.271589,0.0600374,12014.7,0.0,6.7169,21.9803,200.0000,100.0980,64.6937,55.0174,50.9657,47.8875,45.9110,44.0944,42.4193,40.8698,38.8861,36.8489,33.5691,28.5479,22.9002,17.7692,10.0117
2.882,0.0,1.0,0.0,3,82.7771,0.240807,0.0761376,12600.4,0.0,7.1472,26.5953,200.0000,95.4092,61.3417,52.0919,48.2268,45.2931,43.4110,41.6820,40.0885,38.6152,36.7300,34.7951,31.6825,26.9227,21.6230,16.8750,9.6478
2.983,0.036907084309460936,1.0,0.0,3,87.9128,0.207286,0.0818136,12692.0,0.0,7.5241,28.5752,200.0000,100.7660,62.0763,52.1204,48.0257,44.9432,42.9768,41.1782,39.5272,38.0061,36.0676,34.0869,30.9198,26.1211,20.8573,16.2919,9.3493
3.093,0.012093713386524159,1.0,0.0,3,93.3511,0.164243,0.0753161,12827.6,0.0,7.8776,27.7549,147.1780,132.9640,70.5508,57.1841,51.9489,48.1031,45.6912,43.5128,41.5357,39.7333,37.4623,35.1713,31.5684,26.2467,20.5915,15.9489,9.0676
3.203,0.003962868002496236,1.0,0.0,3,98.8271,0.115664,0.0580148,12768.0,0.0,8.1696,25.4651,73.1828,188.5200,97.0950,72.0116,63.3062,57.2586,53.6056,50.3945,47.5498,45.0122,41.8881,38.8163,34.1403,27.5593,20.9589,15.8525,8.8180
3.313,0.0012985525870579666,1.0,0.0,3,103.983,0.0661647,0.0235859,12833.8,0.0,8.2943,22.0109,44.2235,200.0000,185.2900,144.9240,111.4830,92.7680,82.8418,74.8396,68.2519,62.7346,56.3632,50.5097,42.2965,31.9690,22.8264,16.4560,8.6851
3.424,0.00042550971172715445,1.0,0.0,3,108.661,0.0231222,-0.0351333,12991.6,0.0,8.1557,18.0549,28.8182,51.0490,95.7549,200.0000,200.0000,195.7460,191.5640,186.9200,181.6050,175.1490,157.9070,116.9880,78.7635,47.7007,28.8977,18.7840,8.8124
3.534,-0.25948251740130385,1.0,0.0,3,112.429,-0.0056076,-0.106086,13711.3,0.0,7.8513,14.8795,20.7943,29.4298,39.3987,47.4942,53.3569,59.8286,65.5102,72.3903,80.8920,91.6642,112.6870,152.7530,194.2130,152.9030,47.5937,24.4036,9.2978
3.643,-0.17822513534777798,0.8360927597656249,0.0,3,117.211,-0.0233561,-0.111084,13571.8,0.0,7.8617,14.3393,19.5000,26.5854,34.1647,39.8946,43.8274,47.9731,51.4544,55.4850,60.2058,65.8101,75.6825,91.3627,149.5210,178.2460,59.5575,26.7654,9.3831
3.752,-0.05840081235075989,0.27397087552,0.0,3,120.336,-0.0148366,-0.124171,11204.2,0.0,7.7150,13.8335,18.5949,24.9694,31.5871,36.4574,39.7365,43.1384,45.9526,49.1638,52.8617,57.1659,64.5301,75.6867,112.0730,181.6540,69.4057,28.7000,9.6257
3.863,-0.13229258573258137,0.08977477649039359,0.0,3,120.208,0.0303014,-0.0987841,10959.7,0.0,7.5229,13.9448,19.1788,26.5473,34.6734,40.9916,45.4185,50.1673,54.2217,58.9940,64.6928,71.6163,84.2502,105.5490,190.1510,165.1270,55.9796,26.7923,9.7517
